regra,n_anos_presente,n_anos_total,freq_relativa,status,lift_medio,confianca_media,anos
"ctx_condicao_metereologica_Céu_Claro, ctx_tipo_pista_Simples => desfecho_Fatal",2,4,0.5,estavel,1.3787,0.1078,"[2023, 2024]"
"ctx_condicao_metereologica_Céu_Claro, ctx_fim_de_semana_Sim, ctx_uso_solo_Não => desfecho_Fatal",3,4,0.75,estavel,1.3653,0.1078,"[2023, 2025, 2026]"
"ctx_causa_acidente_Ausência_de_reação_do_condutor, ctx_tipo_pista_Simples => desfecho_Fatal",2,4,0.5,estavel,1.3118,0.1043,"[2023, 2026]"
"ctx_condicao_metereologica_Nublado, ctx_uso_solo_Não => desfecho_Fatal",2,4,0.5,estavel,1.3027,0.1019,"[2024, 2025]"
ctx_tipo_pista_Simples => desfecho_Fatal,4,4,1.0,estavel,1.2858,0.1014,"[2023, 2024, 2025, 2026]"
"ctx_condicao_metereologica_Céu_Claro, ctx_uso_solo_Não => desfecho_Fatal",4,4,1.0,estavel,1.2701,0.1003,"[2023, 2024, 2025, 2026]"
"ctx_fim_de_semana_Sim, ctx_uso_solo_Não => desfecho_Fatal",4,4,1.0,estavel,1.2456,0.0982,"[2023, 2024, 2025, 2026]"
"ctx_causa_acidente_Velocidade_Incompatível, ctx_uso_solo_Não => desfecho_Fatal",2,4,0.5,estavel,1.2438,0.0989,"[2023, 2026]"
"ctx_condicao_metereologica_Céu_Claro, ctx_fim_de_semana_Sim => desfecho_Fatal",2,4,0.5,estavel,1.2436,0.0992,"[2023, 2026]"
"ctx_fim_de_semana_Sim, ctx_tracado_via_Reta => desfecho_Fatal",3,4,0.75,estavel,1.222,0.0971,"[2024, 2025, 2026]"
"ctx_tracado_via_Reta, ctx_uso_solo_Não => desfecho_Fatal",2,4,0.5,estavel,1.182,0.094,"[2025, 2026]"
